probe	SRR7646229	SRR7646230	SRR7646231	SRR7646232	SRR7646233	SRR7646234	SRR7646235	SRR7646236	SRR7646237	SRR7646238	SRR7646239	SRR7646240	SRR7646241	SRR7646242	SRR7646243	SRR7646244	SRR7646245	SRR7646246	SRR7646247	SRR7646248	SRR7646249	SRR7646250	SRR7646251	SRR7646252	SRR7646253	SRR7646254	SRR7646255	SRR7646256	SRR7646257	SRR7646258
cg02459042	2.47861769895378	1.62870192152561	1.47035306525444	3.95973317124868	NA	NA	2.51675657905545	3.93578439735885	NA	0.249446994088206	NA	-10.6789108762363	NA	NA	3.4890150489466	NA	3.71584735308838	4.02950325680376	3.34320454821992	3.7811193270715	NA	-11.4765290140075	2.86573532115112	3.31829547074705	-11.4446794288143	0.0115208225495821	NA	NA	NA	NA
cg20098471	-5.52740848010739	-0.381845948898525	1.42029562771091	3.41152401446759	NA	NA	-5.36696236226169	-2.51485122618564	NA	2.13503637206444	NA	2.38876959054894	NA	NA	-5.55551846979483	NA	-5.28653192618616	4.75541168526704	4.10739404915395	-5.10144406725356	NA	-5.31752219458445	4.58035274028013	2.00231354733308	-5.14551978185772	-5.4760941748591	NA	NA	NA	NA
cg06419732	0.241811448159348	1.62265540292191	3.88924309507819	4.84752461709313	NA	NA	-3.20952895610918	-0.462435022887348	NA	5.40962994542876	NA	4.58669948970322	NA	NA	-5.17051569379535	NA	-5.69043684128317	5.73028581373406	0.215756699220666	-0.585569528037689	NA	-0.867171821979803	4.89961254497601	-1.41418187610196	-4.50358092346841	-4.63297390471389	NA	NA	NA	NA
cg23401796	-4.74698802218845	3.22295794344604	-3.81032088622439	4.54103919875487	NA	NA	1.45592449089361	3.11487359967215	NA	-2.96343491944604	NA	4.17322731069516	NA	NA	-3.20201569379723	NA	-5.54718386716334	4.04873183817883	4.46673235050167	-1.98013268959382	NA	-4.10198581833557	3.56060803670841	1.37100055608966	-3.11795725816005	-5.80836776367225	NA	NA	NA	NA
cg04115680	-5.22836958041937	0.115296265258714	0.530560229262735	-3.94189766123855	NA	NA	-1.93259771033073	-5.21780221887725	NA	-5.74907796900683	NA	2.48999780131456	NA	NA	4.5848838005732	NA	4.60951028999845	5.5762586170256	-5.12531933131859	-0.815295776200481	NA	-5.7112296818933	-5.83767884124314	0.589286225878809	0.484707427233849	-2.23775653411591	NA	NA	NA	NA
cg14294859	-5.05432098496815	-3.27719440285287	3.47922425572649	-3.66049646921969	NA	NA	-4.74897349352742	-0.716794306644232	NA	3.73121779178293	NA	3.74731870754468	NA	NA	-5.18394501114938	NA	-5.50052100771846	4.17034540107066	-4.5432875843747	-4.57932232204216	NA	-4.80509681099625	3.14555589345132	-4.96294179382833	-4.59005257614489	-5.53449805783769	NA	NA	NA	NA
cg09893465	-4.76038558026238	4.1692177503263	4.28937651524541	-1.60044430145976	NA	NA	-2.53538934498592	1.6134432303041	NA	4.29373108709797	NA	1.09110288292654	NA	NA	-4.85193683766737	NA	-5.54002569043738	4.69830546225879	-0.0631972079277274	-2.9616781675751	NA	-2.51063267177251	3.65072256949501	4.4762593207056	-2.94408665730569	-5.36317190117243	NA	NA	NA	NA
cg12248614	-5.58475214604768	-5.60339919064236	-5.6895231847788	2.35523565290627	NA	NA	-1.32552865382072	-1.12928700257466	NA	-5.71907950088443	NA	-0.948067537083904	NA	NA	4.07536391308286	NA	4.63232980101353	4.93678088592785	-5.29821481199002	-5.10699190363732	NA	-5.40157954640908	-2.24916826228569	-5.53973112108403	-2.00863009261945	-2.80748407594594	NA	NA	NA	NA
cg05905176	-5.22938300657817	-5.14597828794328	0.699281391297559	-4.42934127411738	NA	NA	-4.97238590728557	-5.05869984448778	NA	2.18135097353954	NA	1.97215739468821	NA	NA	3.83472182344685	NA	4.33765479525681	4.59115898494711	-4.98325682333461	-4.72384212897769	NA	-4.76692864829784	-3.22194661881077	-4.75498379070358	-1.61300574129678	-5.38744633178662	NA	NA	NA	NA
cg15375772	-0.850003634862418	3.29128525035638	3.59645436094406	5.63486517934532	NA	NA	3.09519992080596	3.65145918588796	NA	4.78881320962088	NA	3.21911689470307	NA	NA	-4.23007626059325	NA	-5.69607140761488	5.47891033030957	1.05033916803965	-1.61285621581589	NA	-2.94327010275376	5.54887546463573	4.93684611784143	0.0682037225590346	-4.50420580678201	NA	NA	NA	NA
cg06249604	-5.282900644656	-0.724255850450183	1.0941440765102	0.55918246079757306	NA	NA	-5.6462771765243	-1.52698533840014	NA	1.49675327490404	NA	1.72330195992109	NA	NA	4.19859249558307	NA	4.18674962359935	4.45327840523812	1.16929955769648	-5.37483436867257	NA	-5.75078883705457	3.52102517066941	-1.42928746429517	-4.65180374344401	-5.55300811402174	NA	NA	NA	NA
cg05415131	-5.31369415010771	-0.386835089470259	1.20042214290174	-5.28612024644163	NA	NA	-5.87708967007121	-5.95331092261316	NA	1.7448902185122	NA	-4.78338326751616	NA	NA	3.98765080932021	NA	3.39954116664487	1.04469542339897	-4.50573441840844	-5.54657792788149	NA	-5.56779757684277	2.78447757182794	-0.944443637610662	-5.61609580287308	-5.92332565398942	NA	NA	NA	NA
