gene	SRR7646230	SRR7646231	SRR7646232	SRR7646251	SRR7646252	SRR7646236	SRR7646238	SRR7646240	SRR7646246	SRR7646247	SRR7646243	SRR7646245	SRR7646254	SRR7646229	SRR7646235	SRR7646248	SRR7646250	SRR7646253
cg13387113	0.141818047796297	-4.050728657436	0.623111928241025	3.84731883317262	-0.264764314541678	-4.1100947182662	3.42946420147272	3.70118311021753	3.91880474498886	-4.0863267077497	0.834791170965924	3.02352305871476	-4.48281050215668	-4.42740217067383	-4.05264609406514	-4.43625185014416	-4.62120853621545	-4.27033523022944
cg04173586	-5.10406511020449	1.55678782355317	-3.76929800053174	-1.16025775194047	-5.26977343569318	1.56110059820675	3.38287493511574	1.72911440229113	4.11858664191358	-5.73107714106645	-5.60113771603828	-5.83498482430184	-3.04003124563765	-3.96974993000996	-5.32867506340904	-5.45261147252282	-5.08303356491415	-3.31440746534743
cg22473620	-0.0146235572391152	1.90952227103123	2.80660459854088	3.28956563767399	1.01487626724369	0.458137053421057	2.15566479114024	2.54629455207711	4.44086036155441	-0.0016326372077915	-4.72383630781338	-4.63295950855265	-4.66035155422191	-4.47769402058328	-4.65842362297268	-4.28095470838409	-4.32425149779504	-4.32104431070546
cg22471075	-0.184100864893908	-1.2554985468135	4.14967343427905	-0.699628915981238	-4.71426570596627	-5.55814495011323	4.59792726877508	-0.131161903640038	4.67307521421322	-3.76114719869279	-5.44317924310101	-4.93699976743041	-5.44493034153878	1.14930561651205	0.991755739322288	-1.90065911026831	-2.65150704923761	-0.813867493203759
cg15123562	-1.46812259740694	-1.53325706493934	0.613847826586658	-0.850093363305236	-0.707658271634099	-5.66773214159536	1.47925196559772	2.14108479542193	4.3839372045246	-4.84883115075317	3.2320107789015	2.84332055144781	-5.0684782429271	-5.75610910729069	-5.20162198651609	-3.79662769907484	-5.10193164486406	-0.907162030850092
cg07931391	-0.494132829172613	-1.37703142831394	1.1946173467983	4.06557052457438	-2.69635280191127	2.17789864983777	1.62418343267924	1.10598545607307	4.9112637533492	1.37698042402556	1.21859556486333	-4.52644090133374	-5.98221916752932	0.435874199018865	-5.1047944146611	1.90290227815656	-4.91448441726121	-4.19853595573301
cg05304177	-6.18067320526294	-1.15633636606712	-0.536780424237065	-5.86912470536089	0.38184210177341	1.4059387266073	1.1391455444575	-4.22156175009742	0.144390891713347	-6.5018778045456	0.434485126082788	-6.35047600737712	-6.72044979114373	-6.3227419960498	-6.30568488805929	-6.28820933576259	-5.90881539698311	-6.17725702518614
cg22817352	-3.69095380486213	-3.2547496438459	-5.11142985297339	-5.2098547539607996	-3.70083018951705	-1.21340784696734	-4.8964494583112	-3.4441432959442	-2.93490948452633	-3.07945928399459	3.29337090487413	4.0472539558837	-4.80323228559044	4.60125354282494	-1.65206477564537	0.553056132245718	1.31901663180944	0.801763950565812
cg26681770	-4.33404597949102	-4.35327459540367	-5.2726083797029	-5.0693010828596	-4.88228040578694	-5.21948060002586	-4.9517473993007	-4.13319847023722	-4.61073144839024	-5.03348527267738	4.9117771033318	4.20561967458532	-5.47866840930072	-4.26910371177542	-4.22451364321893	0.751226017427841	-4.56739986588169	-2.2212968285509
cg09062708	-1.73428623067747	-4.11099246584579	-4.9378717614915	-4.71883350247339	-5.06154195616224	-4.3346101499261	1.01510888292457	-2.34983421570761	-5.02801698819197	-4.51236980204998	0.349986692908873	3.66325662254353	3.8900038210119	1.34055521472909	-4.28748284436836	-4.85189898578514	-3.61525755547616	1.32580298731603
cg06127256	-1.15669238305278	1.65300753946034	-4.66982295735048	-4.40444091114218	-4.68909977293457	-3.47026160581147	-1.78766726931271	-1.64056232402063	-1.38064289195508	-1.37213207081975	1.0683953221484	5.30779075154444	5.46786217244133	-4.66814683545796	-3.32037153767561	-4.40020927669359	-3.24894072402616	-1.96326240002322
cg24679890	-3.81297940675012	-5.46729203092208	-1.93070412529168	3.06316622241676	-2.23550489371309	-3.124902069316	-3.99387037025145	1.99778831359576	3.45700326379902	-5.24920526736372	0.864145859629007	3.27184421277291	-3.54638940249276	-5.65880731112683	-3.06047078077395	-2.65425508938963	-5.48950300807028	-2.21854484095148
cg16151651	0.0719469087770801	-4.50012319177156	-0.120186871802747	-0.683075518649872	-0.19094801041665	4.10926713278203	2.79078103620706	3.53240633819049	4.827440555541	-1.60342094238085	-4.67110813089977	0.533161944653118	-4.63487282103535	3.54938060465268	2.0934872667162	4.04715269140461	2.62270215617924	3.59350677704702
cg01324372	-5.23317994111716	-5.19247367816721	-5.11328517693257	-5.10818787155248	-5.03552009277643	-4.92091636811693	2.15132687410905	-4.85446510583446	-4.9082664520316	-4.99899160008462	4.31935009619653	1.20594066108057	-5.21358313629205	-5.11082667877761	-3.57392850671194	-2.01199209596907	-4.84716065557972	0.974277090366078
cg16455791	-5.39321778503494	-5.24813211855073	-4.89450697629839	-1.55767762346332	-13.2149958878019	-5.01617765021267	-0.165779268783144	-2.13278224802701	-3.70429698054223	-5.5687594331354	0.517402868110247	0.574672248968313	-5.36671076698239	-4.75529007630109	-5.26388748488464	-5.05932133576939	-5.30070943066142	-3.82987147587466
cg09129067	-1.24487105948094	-0.541652032328812	3.85943814198493	4.12021495525971	-0.584857186307455	3.78069219853124	-0.488106859512547	-3.1646042152696	4.07821096133336	1.36941962797877	4.03422790348168	3.83383329224674	-4.80976885055836	3.88862332595537	-4.47683349272252	3.05339887414083	2.86231830278109	2.86954632115005
cg00971050	-0.525915403724731	-3.51924935104871	1.50416804060231	2.90734730719423	-0.469066122212404	-4.92432019322995	0.65742693989971	1.51596470953671	3.25602809438397	-0.511527820086357	2.45771103224608	-0.616250325358841	-2.15434270557285	-5.27334985930691	-5.3966596628403	-5.41590320517249	-5.2157403393251	-3.09735303610543
cg10207553	0.397543067328382	3.98273852543283	4.06409390178382	4.11800520427795	2.81589375141348	4.08309080474173	3.55943210538087	3.75924634016456	4.53593573978079	-0.294263147602306	-4.19522794819246	-3.92123878778754	-4.75196310905152	2.89841146198147	2.07330633777706	3.73218396411322	2.54131025341659	2.77274521011122
cg02276807	-0.900944012509875	-3.43270289948359	-3.53448991754855	1.13147253185771	-2.80041064477689	-0.629945040791148	-1.27587264587556	-0.140893275826156	-0.405357034949624	-4.79881646840318	4.46550110378835	4.05116283319679	4.22297053295527	3.64892729414125	-3.82647914365961	2.73210984031283	2.97972709820718	-0.633931573540441
cg25153741	1.89294683406177	-3.86231994540399	3.79539400912977	3.22442702381855	-2.90975170307689	-1.82643846900713	-1.42669854791392	2.08633078638452	-0.756320553777596	2.48286892115405	-5.04833386271161	-3.07861371261209	-5.43199561061041	2.68716876529199	0.691097244617681	-3.69109193616537	-3.62600033342671	-2.14334838144204
cg13667243	-2.47732205684943	-0.80884860387416	-2.98399847312206	1.76098337398958	-5.11961998570425	0.839878069088057	0.28328475516767	0.43660806275345	3.69950006633538	0.283866881224775	3.88498157594528	4.06608793706007	-1.55508431545822	-4.86062074799834	-3.81089729867557	-3.54109640139992	-4.49747350244749	-2.62173451564146
cg14197503	0.378641488162366	1.50144063119666	3.89348538862133	2.54773192344922	-0.0592932937753583	3.29877953951423	3.00044506661869	2.76482847684091	3.40640636374018	3.41143475034318	-2.19977897121096	-4.92112881054936	-5.3081217262109	2.92601487488444	2.01146641507389	0.943124655080911	-1.95558925185486	-3.71427780960351
cg15575375	-2.16846791033092	-5.08990104232207	-5.20093307070091	-5.27435995519828	-5.14019747214322	-4.9437445618662	1.28153370593893	-2.19944493892364	-5.82247173245285	-5.33804204911857	0.453292628601632	4.06754313274943	-1.77670710663613	-0.0189554182608662	-4.98089054103745	-5.17386874634426	-4.17076608790679	1.20437887726488
cg24145118	1.29062038595167	1.83736051984585	4.20775876934557	3.87640018491043	2.63419056638015	3.49608881657536	2.89554032390603	2.8685225656538	4.24353470286445	4.03804757880281	0.754125799377977	-5.42312215207637	-5.31747226798402	4.24342868469507	2.13459561116928	2.32686401985266	-1.07927054933129	-1.30888764811774
cg19401033	-2.65477199062141	-1.0633778297531	-4.41236722478898	-0.639267486476749	-5.18533816379669	-0.148323986718092	1.99755514554949	-2.03595976962743	3.44969141140878	-4.30299266204002	3.32799645193889	-5.47129744606897	-0.50318321569337	-4.55368069954056	-4.79683003739089	-5.08079084763046	-4.337507573175	-4.8580278038927
cg19798702	2.02817550510119	1.84962025864598	3.00358960282193	2.7908516955077	2.95747569864633	2.60244900577866	3.25015130335331	2.96681529132077	3.33735702467261	3.28284146024265	-3.67256275286376	-4.423834171126	-3.76714502267432	-3.63559020196096	-1.39551409167061	-2.0749700536354	-1.26655090634643	-2.07916880466129
cg10804656	-0.454331014171266	0.679520799260002	-1.26311224546119	2.53089109060202	-0.788554941187972	1.12764169400939	2.4122177511973	3.77586549524282	5.54841513907697	-1.38728130799675	2.49740540492576	-4.87726350221962	-4.07868665229332	-2.8561664269766	-2.13158896359064	-1.98171466939543	-2.65985810842212	-4.73095027748333
